Ešarra-hammat_q;Antu_d;2
Ešarra-hammat_q;Gilgameš_d;2
Ešarra-hammat_q;Šamaš_d;1
Mullissu-mukanishat-Ninua_q;Ereškigal_d;2
Mullissu-mukanishat-Ninua_q;Šamaš_d;2
Naqi’a_q;Adad_d;1
Naqi’a_q;Asalluhi_d;2
Naqi’a_q;Aya_d;1
Naqi’a_q;Aššur_d;5
Naqi’a_q;Banitu_d;1
Naqi’a_q;Bel_d;3
Naqi’a_q;Belet-Arbail_d;1
Naqi’a_q;Belet-Babili_d;1
Naqi’a_q;Belet-Ninua_d;1
Naqi’a_q;Belet-ili_d;1
Naqi’a_q;Ea_d;2
Naqi’a_q;Iqbi-damiq_d;1
Naqi’a_q;Ištar_d;1
Naqi’a_q;Ištar_Arbail_d;2
Naqi’a_q;Ištar_Nineveh_d;2
Naqi’a_q;Kusu_d;1
Naqi’a_q;Laṣ_d;1
Naqi’a_q;Marduk_d;10
Naqi’a_q;Mullissu_d;2
Naqi’a_q;Nabu_d;13
Naqi’a_q;Nanaya_d;4
Naqi’a_q;Nergal_d;1
Naqi’a_q;Ningal_d;3
Naqi’a_q;Ningirim_d;1
Naqi’a_q;Ninurta_d;1
Naqi’a_q;Nusku_d;1
Naqi’a_q;Sin_d;5
Naqi’a_q;Tašmetu_d;2
Naqi’a_q;Šamaš_d;17
Queen_of_Sin-šarru-iškun_q;Nabu_d;1
Sammu-ramat_q;Enlil_d;1
Sammu-ramat_q;Ištar_d;1
Sammu-ramat_q;Nabu_d;2
Sammu-ramat_q;Nudimmud_d;1
Tašmetu-šarrat_q;Aššur_d;1
Tašmetu-šarrat_q;Belet-ili_d;1
Tašmetu-šarrat_q;Ištar_d;1
Yabâ_q;Anunnaki_d;2
Yabâ_q;Biṭi_d;1
Yabâ_q;Ereškigal_d;1
Yabâ_q;Ninŋešzidak_d;1
Yabâ_q;Šamaš_d;1
